rank,school,score,peer,expert_score,gre_verbal,gre_quant,doc_accept,phd_student_faculty_ratio,phd_granted_per_faculty,funded_research,funded_research_per_faculty,enroll
66, University at Albany—SUNY (NY),50,3.2,3.6,153,153,35.2,2.3,0.7,5.70,98.20,852
66, University of Arkansas—Fayetteville,50,2.8,3.1,154,150,17,2.8,0.5,21.00,239.00,612
66, University of Utah,50,3.3,3.6,152,151,38.8,3.5,0.6,7.70,140.70,671
69, University of California—San Diego,49,3.5,3.8,153,145,26.9,3.7,1.5,1.00,73.00,147
69, University of Hawaii—Manoa,49,3,3.2,152,149,66.4,0.9,0.2,17.50,157.50,888
69, University of North Carolina—Charlotte,49,3.2,3.6,155,149,58.6,1.4,0.3,8.50,96.40,1409
72, Southern Illinois University—Carbondale,48,2.6,3.1,150,151,34.2,2.2,0.6,19.40,299.20,835
72, University of California—Riverside,48,3.4,3.4,153,150,21.6,2.7,0.6,1.00,53.70,259
74, Clemson University (SC),47,3.1,3.7,153,147,51.5,1.5,0.4,4.90,85.20,576
74, Lehigh University (PA),47,2.7,3.3,156,150,18.3,3.4,0.8,6.10,209.80,503
74, University of Massachusetts—Boston,47,3.1,3.1,155,151,36.5,1.7,0.3,4.90,102.70,835
77, University of Northern Iowa,46,2.7,3.1,161,162,68.8,0.3,0,0.50,3.90,556
77, University of Oklahoma (Rainbolt),46,3.1,3.6,152,145,39.4,3.8,0.5,7.10,117.90,765
77, University of Wisconsin—Milwaukee,46,3.1,3.6,154,151,31.4,2.1,0.3,2.80,46.10,635
80, Brigham Young University—Provo (McKay) (UT),45,2.9,3.3,157,153,28.2,1.4,0.2,1.00,11.70,326
80, Iowa State University,45,3.1,3.9,152,146,48.1,1.5,0.5,1.80,40.30,324
80, University at Buffalo—SUNY (NY),45,3.1,3.6,151,150,53.6,4.8,1,3.50,77.20,1010
80, University of Miami (FL),45,3.1,3.6,153,147,26.3,3.9,0.6,3.30,103.00,490
80, University of North Carolina—Greensboro,45,3.1,3.5,155,149,31.2,3,0.8,3.80,54.40,914
85, Kansas State University,44,2.9,3.5,153,147,82.9,2.3,0.5,7.70,174.80,943
85, Loyola University Chicago (IL),44,3.1,3.3,155,152,23.9,5.1,1.4,2.50,72.90,664
85, University of Louisville (KY),44,3,3.3,154,149,38.4,1.8,0.3,4.40,63.10,1322
85, Virginia Tech,44,3.1,3.9,152,149,69,4.4,1.3,4.80,100.80,671
89, Auburn University (AL),43,3.3,3.4,149,147,45,3.1,0.8,5.50,61.70,972
89, Baylor University (TX),43,2.9,3.5,156,150,35.7,1.4,0.4,0.40,13.40,174
89, University of Cincinnati (OH),43,2.9,3.2,153,150,38.1,1.8,0.5,6.80,90.90,1439
89, University of San Diego (CA),43,2.9,3.3,155,149,49.3,1.9,0.7,4.30,135.90,825
