"team","fci","league","stadium","yearOpened","capacity"
"Boston Celtics",444.16,"NBA","TD Garden",1995,18624
"Brooklyn Nets",404.6,"NBA","Barclays Center",2012,17732
"Charlotte Hornets",212.4,"NBA","Time Warner Cable Arena",2005,19077
"Chicago Bulls",477.32,"NBA","United Center",1994,20917
"Cleveland Cavaliers",271.74,"NBA","Quicken Loans Arena",1994,20562
"Dallas Mavericks",312.2,"NBA","American Airlines Center",2001,19200
"Denver Nuggets",322.5,"NBA","Pepsi Center",1999,19155
"Detroit Pistons",261.2,"NBA","The Palace of Auburn Hills",1988,22076
"Golden State Warriors",336.52,"NBA","Oracle Arena",1966,19596
"Houston Rockets",369.86,"NBA","Toyota Center",2003,18023
"Indiana Pacers",232.44,"NBA","Bankers Life Fieldhouse",1999,18165
"Los Angeles Clippers",435.72,"NBA","Staples Center",1999,19060
"Los Angeles Lakers",541,"NBA","Staples Center",1999,18997
"Memphis Grizzlies",223.92,"NBA","FedExForum",2004,18119
"Miami Heat",468.2,"NBA","American Airlines Arena",2000,19600
"Milwaukee Bucks",325.85,"NBA","BMO Harris Bradley Center",1988,18717
"Minnesota Timberwolves",281.06,"NBA","Target Center",1990,19356
"New Orleans Pelicans",221.8,"NBA","Smoothie King Center",1999,17003
"New York Knicks",676.42,"NBA","Madison Square Garden",1968,19763
"Oklahoma City Thunder",295.4,"NBA","Chesapeake Energy Arena",2002,18203
"Orlando Magic",263.1,"NBA","Amway Center",2010,18846
"Philadelphia 76ers",278.9,"NBA","Wells Fargo Center",1996,20328
"Phoenix Suns",341.9,"NBA","US Airways Center",1992,18422
"Portland Trail Blazers",317.08,"NBA","Moda Center",1995,19980
"Sacramento Kings",280.28,"NBA","Sleep Train Arena",1988,17317
"San Antonio Spurs",340.6,"NBA","AT&T Center",2002,18581
"Toronto Raptors",289.71,"NBA","Air Canada Centre",1999,19800
"Utah Jazz",275.74,"NBA","EnergySolutions Arena",1991,19911
"Washington Wizards",258.78,"NBA","Verizon Center",1997,20290
