id,expend,urban,region
35011,187.15,0,Mekong Delta
35109,102.76,0,Mekong Delta
35209,89.25,0,Mekong Delta
35304,149.39,0,Mekong Delta
35602,155.65,0,Mekong Delta
35616,145.41,0,Mekong Delta
35715,119.54,0,Mekong Delta
35823,193.96,0,Mekong Delta
35917,97.75,0,Mekong Delta
36015,194.67,0,Mekong Delta
36209,319.18,0,Mekong Delta
36404,193.07,0,Mekong Delta
36707,105.79,0,Mekong Delta
37513,65.37,0,Mekong Delta
37803,86.69,0,Mekong Delta
37812,213.47,0,Mekong Delta
37829,98.35,0,Mekong Delta
37909,124.44,0,Mekong Delta
38002,122.26,0,Mekong Delta
38103,110.98,0,Mekong Delta
38223,93.11,0,Mekong Delta
38303,125.15,0,Mekong Delta
38515,322.59,0,Mekong Delta
