title,series_name,date_aired,engagement,caught_by,imdb_rating,format,catchphrase,shaggy_scooby,fred_daphne_velma,other,combo,tv
The Stoney Glare Stare,The New Scooby-Doo Mysteries,9/22/84,3.36729583,Shaggy/Scooby,7.5,TV,3,1,0,0,0,1
Mission: Un-Doo-Able,The New Scooby-Doo Mysteries,9/29/84,3.258096538,Shaggy/Scooby,7,TV,4,1,0,0,0,1
The Bee Team,The New Scooby-Doo Mysteries,9/29/84,3.258096538,Other,7,TV,5,0,0,1,0,1
Doom Service,The New Scooby-Doo Mysteries,10/6/84,3.17805383,Shaggy/Scooby,7.1,TV,1,1,0,0,0,1
A Code in the Nose,The New Scooby-Doo Mysteries,10/6/84,3.17805383,Shaggy/Scooby,7.1,TV,2,1,0,0,0,1
Ghost of the Ancient Astronauts,The New Scooby-Doo Mysteries,10/13/84,3.583518938,Fred/Daphne/Velma,6.9,TV,5,0,1,0,0,1
The Night of Living Toys,The New Scooby-Doo Mysteries,10/20/84,3.135494216,Shaggy/Scooby,7.2,TV,2,1,0,0,0,1
A Halloween Hassle at Dracula's Castle,The New Scooby-Doo Mysteries,10/27/84,3.850147602,Shaggy/Scooby,8,TV,5,1,0,0,0,1
A Night Louse at the White House,The New Scooby-Doo Mysteries,11/3/84,3.258096538,Other,7.5,TV,5,0,0,1,0,1
Showboat Scooby,The New Scooby-Doo Mysteries,11/10/84,3.295836866,Other,7.3,TV,3,0,0,1,0,1
Sherlock Doo,The New Scooby-Doo Mysteries,11/17/84,3.295836866,Shaggy/Scooby,7.6,TV,4,1,0,0,0,1
