title,series_name,date_aired,engagement,caught_by,imdb_rating,format,catchphrase,shaggy_scooby,fred_daphne_velma,other,combo,tv
When Urkel-Bots Go Bad!,Scooby-Doo and Guess Who?,8/15/19,4.304065093,Other,6.5,TV,5,0,0,1,0,1
The Fastest Food Fiend!,Scooby-Doo and Guess Who?,8/22/19,3.951243719,Fred/Daphne/Velma,7.5,TV,4,0,1,0,0,1
Attack of the Weird Al-Osaurus!,Scooby-Doo and Guess Who?,8/29/19,4.110873864,Shaggy/Scooby,7.5,TV,6,1,0,0,0,1
"Now You Sia, Now You Don't!",Scooby-Doo and Guess Who?,9/5/19,4.077537444,Other,7.4,TV,9,0,0,1,0,1
Quit Clowning!,Scooby-Doo and Guess Who?,9/12/19,3.850147602,Other,7.4,TV,6,0,0,1,0,1
"What a Night, for a Dark Knight",Scooby-Doo and Guess Who?,9/19/19,4.430816799,Shaggy/Scooby,8.7,TV,8,1,0,0,0,1
SCOOB!,Warner Bros. Picture,5/15/20,9.914724184,Shaggy/Scooby,5.7,Movie,8,1,0,0,0,0
The Nightmare Ghost of Psychic U!,Scooby-Doo and Guess Who?,7/2/20,3.63758616,Fred/Daphne/Velma,8.1,TV,5,0,1,0,0,1
"The Sword, the Fox and the Scooby-Doo!",Scooby-Doo and Guess Who?,7/2/20,3.555348061,Other,8.8,TV,2,0,0,1,0,1
One Minuite Mysteries!,Scooby-Doo and Guess Who?,7/2/20,3.583518938,Fred/Daphne/Velma,7.9,TV,4,0,1,0,0,1
Hollywood Knights!,Scooby-Doo and Guess Who?,7/2/20,3.218875825,Fred/Daphne/Velma,8.1,TV,14,0,1,0,0,1
The New York Underground!,Scooby-Doo and Guess Who?,7/2/20,3.295836866,Fred/Daphne/Velma,7.8,TV,7,0,1,0,0,1
Fear the Fire Beast!,Scooby-Doo and Guess Who?,7/2/20,3.135494216,Other,7.7,TV,3,0,0,1,0,1
Too Many Dummies!,Scooby-Doo and Guess Who?,7/2/20,3.33220451,Other,8.2,TV,2,0,0,1,0,1
Dance Matron of Mayhem,Scooby-Doo and Guess Who?,7/2/20,3.091042453,Fred/Daphne/Velma,7.6,TV,5,0,1,0,0,1
The Wedding Witch of Wainsly Hall!,Scooby-Doo and Guess Who?,7/2/20,2.944438979,Fred/Daphne/Velma,8.6,TV,3,0,1,0,0,1
A Run Cycle Through Time!,Scooby-Doo and Guess Who?,7/2/20,3.044522438,Fred/Daphne/Velma,7.9,TV,8,0,1,0,0,1
I Put a Hex on You!,Scooby-Doo and Guess Who?,7/2/20,3.218875825,Fred/Daphne/Velma,8.4,TV,1,0,1,0,0,1
Space Station Scooby,Scooby-Doo and Guess Who?,7/2/20,3.17805383,Other,8.2,TV,4,0,0,1,0,1
"Happy Halloween, Scooby-Doo!",Warner Home Video,10/6/20,6.88550967,Fred/Daphne/Velma,6.3,Movie,3,0,1,0,0,0
Scooby-Doo! The Sword and the Scoob,Warner Home Video,2/23/20,6.045005314,Fred/Daphne/Velma,6.2,Movie,1,0,1,0,0,0
