team,fci,league,year,stadium,yearOpened,location,COL,liveability
Minnesota Vikings,490.62,NFL,2014,TCF Bank Stadium,2009,"Minneapolis, Minnesota",97,74
Montreal Canadiens,431.34,NHL,2013,Bell Centre,1996,"Montreal, Quebec",100,
Tennessee Titans,404.58,NFL,2014,LP Field,1999,"Nashville, Tennessee",86,78
Nashville Predators,320.23,NHL,2013,Bridgestone Arena,1996,"Nashville, Tennessee",86,78
New Orleans Pelicans,208.48,NBA,2013,Smoothie King Center,1999,"New Orleans, Louisiana",90,80
New Orleans Saints,507.49,NFL,2014,Mercedes-Benz Superdome,1975,"New Orleans, Louisiana",90,80
New Jersey Devils,313.85,NHL,2013,Prudential Center,2007,"Newark, New Jersey",108,71
Oakland Athletics,200.36,MLB,2014,O.co Coliseum,1966,"Oakland, California",119,71
Golden State Warriors,324.08,NBA,2013,Oracle Arena,1966,"Oakland, California",119,71
Oakland Raiders,420.7,NFL,2014,O.co Coliseum,1966,"Oakland, California",119,71
Oklahoma City Thunder,295.4,NBA,2013,Chesapeake Energy Arena,2002,"Oklahoma City, Oklahoma",80,77
Buffalo Bills,383.05,NFL,2014,Ralph Wilson Stadium,1973,"Orchard Park, New York",90,85
Orlando Magic,263.1,NBA,2013,Amway Center,2010,"Orlando, Florida",91,78
Ottawa Senators,259.92,NHL,2013,Canadian Tire Centre,1996,"Ottawa, Ontario",98,
Philadelphia Phillies,258.18,MLB,2014,Citizens Bank Park,2004,"Philadelphia, Pennsylvania",98,73
Philadelphia 76ers,266.4,NBA,2013,Wells Fargo Center,1996,"Philadelphia, Pennsylvania",98,73
Philadelphia Eagles,530.76,NFL,2014,Lincoln Financial Field,2003,"Philadelphia, Pennsylvania",98,73
Philadelphia Flyers,367.49,NHL,2013,Wells Fargo Center,1996,"Philadelphia, Pennsylvania",98,73
Arizona Diamondbacks,126.89,MLB,2014,Chase Field,1998,"Phoenix, Arizona",88,79
Phoenix Suns,344.92,NBA,2013,US Airways Center,1992,"Phoenix, Arizona",88,79
Pittsburgh Pirates,169.28,MLB,2014,PNC Park,2001,"Pittsburgh, Pennsylvania",83,76
Pittsburgh Steelers,512.88,NFL,2014,Heinz Field,2001,"Pittsburgh, Pennsylvania",83,76
Pittsburgh Penguins,378.07,NHL,2013,Consol Energy Center,2010,"Pittsburgh, Pennsylvania",83,76
Portland Trail Blazers,308.18,NBA,2013,Moda Center,1995,"Portland, Oregon",106,76
New York Mets,229.68,MLB,2014,Citi Field,2009,"Queens, New York City, New York",146,77
Carolina Hurricanes,303.63,NHL,2013,PNC Arena,1999,"Raleigh, North Carolina",93,80
Sacramento Kings,268.28,NBA,2013,Sleep Train Arena,1988,"Sacramento, California",103,77
Minnesota Wild,376.55,NHL,2013,Xcel Energy Center,2000,"Saint Paul, Minnesota",95,75
Utah Jazz,280.98,NBA,2013,EnergySolutions Arena,1991,"Salt Lake City, Utah",91,74
San Antonio Spurs,339,NBA,2013,AT&T Center,2002,"San Antonio, Texas",83,77
San Diego Padres,153.45,MLB,2014,Petco Park,2004,"San Diego, California",119,81
San Diego Chargers,478.19,NFL,2014,Qualcomm Stadium,1967,"San Diego, California",119,81
San Francisco Giants,239.51,MLB,2014,AT&T Park,2000,"San Francisco, California",144,76
San Jose Sharks,340.32,NHL,2013,SAP Center at San Jose,1993,"San Jose, California",134,80
San Francisco 49ers,641.5,NFL,2014,Levi's Stadium,2014,"Santa Clara, California",138,83
Seattle Mariners,207.8,MLB,2014,Safeco Field,1999,"Seattle, Washington",118,76
Seattle Seahawks,472.1,NFL,2014,CenturyLink Field,2002,"Seattle, Washington",118,76
