spice_name,age,original_member,solo_nominations,real_name
Scary,19,TRUE,4,Mel B
Sporty,20,TRUE,26,Mel C
Baby,18,FALSE,14,Emma
Ginger,22,TRUE,13,Geri
Posh,20,FALSE,12,Victoria
