title,subtitle,series,author,my_rating,avg_rating,publisher,binding,pages,year_published,month_read,month_read_num,year_read,bookshelf
By the Book,,,"Sonneborn, Julia",4,3.54,Gallery Books,Paperback,384,2018,May,5,2019,read
Calculating God,,,"Sawyer, Robert J.",3,3.84,Tor Books,Paperback,334,2000,February,2,2016,read
Caldecott and Co.,Notes on Books and Pictures,,"Sendak, Maurice",4,4.29,Noonday Press,Hardcover,216,1988,January,1,2015,read
Calico Joe,,,"Grisham, John",4,3.78,Doubleday,Hardcover,198,2012,February,2,2013,read
Call Me Puke,A Life on the Dirt Circuit,,"Sieve, Mark",4,4.07,Two Harbors Press (MN),Paperback,259,2009,May,5,2019,read
Cassette From My Ex,Stories and Soundtracks of Lost Loves,,"Bitner, Jason",4,3.58,St. Martin's,Hardcover,224,2009,May,5,2016,read
Catalyst,,,"Anderson, Laurie Halse",3,3.61,Viking,Hardcover,233,2014,August,8,2014,read
Catching Fire,,"The Hunger Games, #2","Collins, Suzanne",3,4.31,Scholastic Press,Hardcover,405,2009,September,9,2012,read
Chasing Cezanne,,,"Mayle, Peter",4,3.49,Vintage,Paperback,304,1991,January,1,2017,read
Chloe Does Yale,,,"Krinsky, Natalie",3,3.02,Hyperion Books,Paperback,258,2005,May,5,2018,read
Chronicle of a Death Foretold,,,"Marquez, Gabriel Garcia",3,3.96,Vintage,Paperback,120,1981,February,2,2019,read
City of Thieves,,,"Benioff, David",5,4.3,Viking,Hardcover,258,2008,August,8,2018,read
"Clothes, Clothes, Clothes. Music, Music, Music. Boys, Boys, Boys",,,"Albertine, Viv",4,4.24,Faber & Faber,Paperback,432,2014,January,1,2018,read
Code Girls,The Untold Story of the American Women Code Breakers of World War II,,"Mundy, Liza",4,3.94,Hachette Books,Paperback,448,2018,August,8,2020,read
Command Authority,,"Jack Ryan Universe, #16","Clancy, Tom",4,4.07,G.P. Putnam's Sons,Hardcover,740,2013,August,8,2014,read
Confessions of an Economic Hit Man,,,"Perkins, John",3,3.81,Plume,Hardcover,336,2004,September,9,2013,read
Connected Code,Why Children Need to Learn Programming,,"Kafai, Yasmin B.",,3.7,MIT Press,Hardcover,181,2014,June,6,2015,quit-reading
Conversations on Writing Fiction,Interviews with Thirteen Distinguished Teachers of Fiction Writing in America,,"Neubauer, Alexander",4,3.57,Harper,Paperback,236,1994,November,11,2017,read
Country Roads of Minnesota,,,"Hintz, Martin",4,4,Country Roads Press,Paperback,159,1999,August,8,2016,read
Crisis in the Red Zone,"The Story of the Deadliest Ebola Outbreak in History, and of the Outbreaks to Come",,"Preston, Richard",4,4.4,Random House,Hardcover,375,2019,March,3,2020,read
Crossing to Safety,,,"Stegner, Wallace",4,4.16,Random House,Paperback,335,1987,April,4,2019,read
Damaged,,"Maggie O'Dell, #8","Kava, Alex",3,3.84,Doubleday,Hardcover,272,2010,March,3,2020,read
Dancing Bear,,Milo Milodragovitch #2,"Crumley, James",3,4.08,Vintage,Paperback,240,1983,April,4,2018,read
Dark Homecoming,,,"Lustbader, Eric",3,3.61,Pocket Books,Hardcover,368,1996,July,7,2016,read
Dead Air,,,"Lupica, Mike",4,3.74,Ballantine Books,Hardcover,288,1986,January,1,2018,read
Dead Ever After,,"Sookie Stackhouse, #13","Harris, Charlaine",2,3.31,Ace Books,Hardcover,338,2013,June,6,2013,read
Dead or Alive,,"Jack Ryan Universe, #13","Clancy, Tom",4,3.76,G.P. Putnam's Sons,Hardcover,950,2010,December,12,2011,read
Dead Reckoning,,"Sookie Stackhouse, #11","Harris, Charlaine",3,3.75,Ace Books,Hardcover,325,2011,July,7,2011,read
Deadlocked,,"Sookie Stackhouse, #12","Harris, Charlaine",3,3.61,Ace Books,Hardcover,327,2012,July,7,2012,read
Dear Committee Members,,,"Schumacher, Julie",4,3.76,Doubleday,Hardcover,181,2014,February,2,2016,read
Dear Fahrenheit 451,Love and Heartbreak in the Stacks,,"Spence, Annie",4,3.79,Fawcett,Hardcover,244,2017,September,9,2018,read
Dear Mr. Knightley,,,"Reay, Katherine",3,3.93,Thomas Nelson,Paperback,317,2013,July,7,2020,read
Death and the Penguin,,,"Kurkov, Andrey",4,3.82,Vintage,Paperback,228,1996,October,10,2011,read
Design Literacy,Understanding Graphic Design,,"Heller, Steven",4,3.88,Allworth Press,Paperback,288,1997,June,6,2017,read
Dexter in the Dark,,"Dexter, #3","Lindsay, Jeff",4,3.47,Doubleday,Hardcover,302,2006,June,6,2011,read
Dexter's Final Cut,,"Dexter, #7","Lindsay, Jeff",3,3.5,Doubleday,Hardcover,352,2013,September,9,2015,read
Dictionaries,The Art and Craft of Lexicography,,"Landau, Sidney I.",4,4.1,Cambridge University Press,Paperback,496,1984,May,5,2018,read
Die Trying,,"Jack Reacher, #2","Child, Lee",4,4.03,Jove,Paperback,552,2008,June,6,2020,read
Digging for Dirt,The Life and Death of ODB,,"Lowe, Jaime",3,3.27,Faber & Faber,Hardcover,288,2008,October,10,2015,read
Digital Dice,Computational Solutions to Practical Probability Problems,,"Nahin, Paul J.",3,3.96,Princeton University Press,Hardcover,263,2008,April,4,2011,read
Distrust That Particular Flavor,,,"Gibson, William",3,3.76,G.P. Putnam's Sons,Hardcover,272,2012,June,6,2014,read
Dog on It,,"A Chet and Bernie Mystery, #1","Quinn, Spencer",3,3.86,Atria Books,Hardcover,305,2008,September,9,2017,read
Don't Rhyme For The Sake Of Riddlin',The Authorised Story Of Public Enemy,,"Myrie, Russell",3,3.05,Canongate Books,Hardcover,320,2008,July,7,2016,read
Don't You Forget About Me,,,"Dunn, Jancee",4,3.1,Villard,Hardcover,276,2008,February,2,2012,read
Double Dexter,,"Dexter, #6","Lindsay, Jeff",3,3.81,Doubleday,Hardcover,337,2011,November,11,2012,read
Down and Out in Paris and London,,,"Orwell, George",4,4.11,Penguin,Paperback,216,1933,May,5,2018,read
Dr. Seuss & Mr. Geisel,A Biography,,"Morgan, Judith",5,4.13,Random House,Hardcover,345,1995,December,12,2019,read
Dragon Teeth,,,"Crichton, Michael",4,3.77,Harper,Hardcover,295,2017,April,4,2019,read
Dreaming in Code,"Two Dozen Programmers, Three Years, 4,732 Bugs, and One Quest for Transcendent Software",,"Rosenberg, Scott",4,3.66,Crown,Hardcover,400,2007,December,12,2012,read
Dreyer's English,An Utterly Correct Guide to Clarity and Style,,"Dreyer, Benjamin",4,4.44,Random House,Hardcover,291,2019,April,4,2019,read
Duel in the Sun,"Alberto Salazar, Dick Beardsley, and America's Greatest Marathon",,"Brant, John",4,4.04,Rodale Books,Hardcover,210,2006,December,12,2018,read
Eating Animals,,,"Foer, Jonathan Safran",5,4.2,"Little, Brown and Company",Hardcover,341,2009,November,11,2019,read
Edge,,,"Deaver, Jeffery",5,3.99,Simon & Schuster,Hardcover,397,2010,January,1,2011,read
Eleanor & Park,,,"Rowell, Rainbow",4,4.09,St. Martin's,Hardcover,328,2012,May,5,2018,read
Endless Frontier,"Vannevar Bush, Engineer of the American Century",,"Zachary, G. Pascal",3,3.88,MIT Press (MA),Paperback,528,1999,October,10,2019,read
ENIAC in Action,Making and Remaking the Modern Computer,,"Haigh, Thomas",4,4.5,MIT Press,Hardcover,366,2016,May,5,2018,read
Enormous Smallness,A Story of E. E. Cummings,,"Burgess, Matthew",4,4.29,Enchanted Lion Books,Hardcover,64,2015,December,12,2016,read
Every Common Sight,,,"Madigan, Tim",4,4.28,Ubuntu Books,Paperback,290,2014,June,6,2016,read
Evidence-Based Policy,A Practical Guide to Doing It Better,,"Cartwright, Nancy",3,3.43,"Oxford University Press, USA",Paperback,196,2012,December,12,2014,read
Ex Libris,Confessions of a Common Reader,,"Fadiman, Anne",4,4.13,Farrar Straus Giroux,Paperback,162,2000,August,8,2019,read
Exact Thinking in Demented Times,The Vienna Circle and the Epic Quest for the Foundations of Science,,"Sigmund, Karl",4,4.07,Basic Books,Hardcover,480,2017,April,4,2018,read
F*ck Feelings,One Shrink's Practical Advice for Managing All Life's Impossible Problems,,"Bennett, Michael I.",4,3.45,Simon & Schuster,Hardcover,384,2015,March,3,2016,read
Fair Ball,A Fan's Case for Baseball,,"Costas, Bob",4,3.61,Broadway,Hardcover,192,2000,April,4,2012,read
Family Resemblances,,,"Pei, Lowry",5,3.81,Vintage,Paperback,264,1986,May,5,2016,read
Fangirl,,,"Rowell, Rainbow",5,4.09,St. Martin's,Hardcover,483,2013,October,10,2018,read
Fates and Furies,,,"Groff, Lauren",3,3.57,Riverhead,Hardcover,390,2015,March,3,2017,read
Fear and Loathing,The Strange and Terrible Saga of Hunter S. Thompson,,"Perry, Paul",4,4.31,Da Capo Press,Paperback,288,1992,May,5,2019,read
Fire In A Canebrake,The Last Mass Lynching In America,,"Wexler, Laura",5,3.91,Scribner,Hardcover,271,2003,March,3,2011,read
Fishing with RayAnne,,,"Finch, Ava",4,3.79,Lake Union Publishing,Paperback,329,2015,September,9,2018,read
Flawed Dogs,The Shocking Raid on Westminster,,"Breathed, Berkeley",4,3.95,Philomel Books,Hardcover,216,2009,July,7,2019,read
Ford County,,,"Grisham, John",4,3.6,Doubleday,Hardcover,308,2008,August,8,2016,read
Forever's Team,,,"Feinstein, John",4,3.88,Villard,Hardcover,375,1989,February,2,2014,read
Fork It Over,The Intrepid Adventures of a Professional Eater,,"Richman, Alan",3,3.23,Harper,Hardcover,336,2004,January,1,2019,read
Fortune's Formula,The Untold Story of the Scientific Betting System That Beat the Casinos and Wall Street,,"Poundstone, William",3,4.13,Hill & Wang,Hardcover,400,2005,August,8,2012,read
Foucault's Pendulum,,,"Eco, Umberto",,3.9,Harcourt,Hardcover,649,1988,October,10,2017,quit-reading
French Dirt,The Story of a Garden in the South of France,,"Goodman, Richard",4,3.6,Algonquin Books,Paperback,203,1991,March,3,2019,read
Friend of My Youth, Stories,,"Munro, Alice",3,4.11,Vintage,Paperback,274,1990,February,2,2018,read
From Rockaway,,,"Eisenstadt, Jill",3,3.15,Knopf,Hardcover,214,1987,January,1,2017,read
From the Ashes of Angels,The Forbidden Legacy of a Fallen Race,,"Collins, Andrew",3,3.97,Signet Books,Paperback,464,1997,October,10,2019,read
Full Force and Effect,,"Jack Ryan Universe, #18","Greaney, Mark",4,4.21,Putnam,Hardcover,674,2014,March,3,2015,read
Funny Girl,,,"Hornby, Nick",3,3.37,Riverhead,Hardcover,452,2014,June,6,2015,read
Garden of Beasts,,,"Deaver, Jeffery",1,3.84,Simon & Schuster,Hardcover,404,2004,March,3,2018,read
Gathering Prey,,"Lucas Davenport, #25","Sandford, John",3,4.19,G.P. Putnam's Sons,Hardcover,407,2015,May,5,2016,read
Generation X,,,"Coupland, Douglas",3,3.73,St. Martin's Griffin,Paperback,183,1991,February,2,2020,read
Georgia Bottoms,,,"Childress, Mark",3,3.37,"Little, Brown and Company",Hardcover,288,2011,November,11,2011,read
Glyph,A Visual Exploration of Punctuation Marks and Other Typographic Symbols,,"Davies, Anna",4,4.32,Cicada Books,Hardcover,112,2015,March,3,2016,read
God is Not Great,How Religion Poisons Everything,,"Hitchens, Christopher",4,3.93,Twelve,Hardcover,307,2007,March,3,2015,read
Gods Behaving Badly,,,"Phillips, Marie",4,3.39,"Little, Brown and Company",Hardcover,293,2007,April,4,2016,read
Gossip Girl,,"Gossip Girl, #1","Ziegesar, Cecily von",3,3.52,"Little, Brown and Company",Paperback,224,2002,April,4,2020,read
Graphic Discovery,A Trout in the Milk and Other Visual Adventures,,"Wainer, Howard",4,3.78,Princeton University Press,Hardcover,192,2004,April,4,2012,read
Grave Secret,,"Harper Connelly, #4","Harris, Charlaine",3,3.95,Berkley Books,Hardcover,306,2009,January,1,2016,read
Great Books,"My Adventures with Homer, Rousseau, Woolf, and Other Indestructible Writers of the Western World",,"Denby, David",3,3.85,Simon  Schuster,Paperback,496,1997,June,6,2019,read
Greek to Me,Adventures of the Comma Queen,,"Norris, Mary",3,3.65,W. W. Norton  Company,Hardcover,240,2019,September,9,2019,read
Gretzky,,,"Gretzky, Wayne",4,3.92,Harper,Paperback,288,1991,February,2,2018,read
Grotesque,,,"Kirino, Natsuo",3,3.66,Knopf,Hardcover,480,2003,May,5,2012,read
Guests of the Ayatollah,The First Battle in America's War With Militant Islam,,"Bowden, Mark",4,4.13,Atlantic Monthly Press,Hardcover,704,2006,September,9,2017,read
Hackers,Heroes of the Computer Revolution,,"Levy, Steven",4,4.13,Penguin,Paperback,464,1984,February,2,2019,read
Hamlet's Dresser,A Memoir,,"Smith, Bob",3,3.75,Scribner,Paperback,288,2002,March,3,2019,read
Happiness and Goodness,Philosophical Reflections on Living Well,,"Cahn, Steven M.",3,3.25,Columbia University Press,Paperback,136,2015,July,7,2020,read
Hard Courts,,,"Feinstein, John",3,3.93,Villard,Paperback,471,1991,March,3,2016,read
Harry Potter and the Goblet of Fire,,"Harry Potter, #4","Rowling, J.K.",4,4.55,Scholastic Press,Paperback,734,2000,March,3,2018,read
Harry Potter and the Prisoner of Azkaban,,"Harry Potter, #3","Rowling, J.K.",4,4.55,Scholastic Press,Hardcover,435,1999,December,12,2017,read
"Headspin, Headshots & History",Growing Up in Twin Cities Hip Hop,,"Combs, Zach",3,0,Zach Combs,Paperback,277,2011,October,10,2015,read
Her Fearful Symmetry,,,"Niffenegger, Audrey",3,3.26,Scribner,Hardcover,406,2009,April,4,2020,read
Here Comes Everybody,,,"Fearnley, James",,3.94,Faber & Faber,Paperback,406,2012,January,1,2016,quit-reading
Hermann Zapf and His Design Philosophy,,,"Zapf, Hermann",5,3.75,Yale University Press,Hardcover,254,1987,June,6,2015,read
Hillbilly Elegy,A Memoir of a Family and Culture in Crisis,,"Vance, J.D.",4,3.94,Harper,Hardcover,257,2016,December,12,2018,read
Hitch-22,A Memoir,,"Hitchens, Christopher",4,4,Twelve,Hardcover,435,2010,January,1,2013,read
Hockey Abstract Presents... Stat Shot,The Ultimate Guide to Hockey Analytics,,"Vollman, Rob",4,4.08,ECW Press,Paperback,352,2016,March,3,2019,read
Hood,,"King Raven, #1","Lawhead, Stephen R.",3,3.88,Westbow Press,Hardcover,490,2006,July,7,2017,read
How I Became a Famous Novelist,,,"Hely, Steve",4,3.68,"Grove Press, Black Cat",Paperback,322,2009,May,5,2020,read
How it Ended,,,"McInerney, Jay",4,3.49,Bloomsbury,Paperback,196,2000,November,11,2016,read
How Paris Became Paris,The Invention of the Modern City,,"DeJean, Joan",3,3.79,Bloomsbury USA,Hardcover,307,2014,September,9,2019,read
How to Be Alone,,,"Franzen, Jonathan",3,3.59,Picador,Paperback,306,2003,December,12,2019,read
How to Build a Girl,,,"Moran, Caitlin",5,3.7,Harper,Hardcover,368,2014,August,8,2018,read
