team,fci,league,stadium,capacity
Tampa Bay Lightning,281.02,NHL,Tampa Bay Times Forum,19204
Tampa Bay Rays,170.02,MLB,Tropicana Field,31042
Tennessee Titans,404.58,NFL,LP Field,69143
Texas Rangers,203.14,MLB,Globe Life Park in Arlington,48114
Toronto Blue Jays,217.69,MLB,Rogers Centre,49282
Toronto Maple Leafs,572.58,NHL,Air Canada Centre,18819
Toronto Raptors,289.71,NBA,Air Canada Centre,19800
Utah Jazz,275.74,NBA,EnergySolutions Arena,19911
Vancouver Canucks,456.35,NHL,Rogers Arena,18910
Washington Capitals,411.94,NHL,Verizon Center,18506
Washington Nationals,227.96,MLB,Nationals Park,41418
Washington Redskins,597.51,NFL,FedExField,79000
Washington Wizards,258.78,NBA,Verizon Center,20290
Winnipeg Jets,413.04,NHL,MTS Centre,15004
