team,avgTicket,pctChange,avgPremTicket,cheapestTicket,beer,softDrink,hotDog,parking,program,cap,fci,fciPctChange,league,year
St. Louis Rams,74.49,8.10%,188.04,,9,5,4.25,20,5,26,434.95,8.30%,NFL,2013
Tampa Bay Buccaneers,63.59,-14.60%,222.31,,5.75,4.25,4.75,25,0,19.95,366.76,-6.30%,NFL,2013
Tennessee Titans,65.28,1.00%,165.08,,5,4,4,30,5,25,393.11,-0.30%,NFL,2013
Washington Redskins,94.8,15.50%,375.32,,9,5,6,50,5,30,561.21,21.60%,NFL,2013
Anaheim Ducks,42.24,4.30%,95.93,,9.5,5,5.5,15,0,20,284.96,1.40%,NHL,2013
Arizona Coyotes,43.83,8.70%,133.63,,9,4.5,5.5,10,0,19,281.32,16.30%,NHL,2013
Boston Bruins,73.91,2.40%,250,,8.25,5.5,5.5,38,5,20,444.13,6.90%,NHL,2013
Buffalo Sabres,47.94,3.90%,88.08,,7,3,4.25,15,2,20,293.76,2.50%,NHL,2013
Calgary Flames,64.86,0.50%,165.36,,7.54,3.89,3.89,13.71,4.57,19.19,366.85,4.10%,NHL,2013
Carolina Hurricanes,53.03,10.70%,93.71,,5.75,4,3.5,10,0,20,303.63,7.30%,NHL,2013
Chicago Blackhawks,72.95,16.00%,152.65,,7.5,5.5,6,25,5,25,437.8,10.50%,NHL,2013
Colorado Avalanche,40.62,0.00%,119.33,,6.75,4.5,4.75,10,2,20,266.99,1.50%,NHL,2013
Columbus Blue Jackets,47.06,-0.50%,98.92,,5.5,4.75,4,7,0,20,281.24,2.20%,NHL,2013
Dallas Stars,37.28,3.30%,115.28,,6,4,4,20,5,20,263.11,1.80%,NHL,2013
Detroit Red Wings,64.46,5.10%,,,6,3.5,3.25,15,7,20,365.86,3.60%,NHL,2013
Edmonton Oilers,75.94,0.00%,179.71,,7.44,3.84,3.84,11.51,0,14.39,389.64,0.00%,NHL,2013
Florida Panthers,40.85,-26.70%,45.52,,8,5,6.5,20,0,20,285.42,-15.30%,NHL,2013
Los Angeles Kings,62.75,2.30%,105.3,,8.5,5.25,6,25,2,20,382,5.40%,NHL,2013
Minnesota Wild,65.39,4.30%,95.29,,9.5,5,5,10,3,20,376.55,6.40%,NHL,2013
Montreal Canadiens,77.14,2.50%,140.89,,6.26,4.17,3.75,22.53,4.08,23.94,431.34,2.20%,NHL,2013
Nashville Predators,56.43,-6.60%,123.12,,6.75,3.5,4.25,10,0,20,320.23,-4.80%,NHL,2013
