title,author,my_rating,avg_rating,publisher,binding,pages,year_published,month_read,year_read,bookshelf
The Lonely Polygamist,"Udall, Brady",4,3.49,W. W. Norton & Company,Hardcover,624,2010,May,2015,read
The Making Of Champions: Life In Canada's Junior A Leagues,"Olver, Robert",3,3,Penguin Putnam~childrens Hc,Hardcover,271,1990,January,2015,read
The Man Who Ate the 747,"Sherwood, Ben",5,3.35,Bantam,Hardcover,260,2000,February,2015,read
"The Miko (Nicholas Linnear, #2)","Lustbader, Eric Van",3,3.86,Fawcett,Hardcover,560,1984,October,2014,read
The Minnesota Road Guide to Gangster Hot Spots,"Lewis, Chad",3,3.75,On the Road Publications,Paperback,198,2009,October,2011,read
The Natural: The Misunderstood Presidency of Bill Clinton,"Klein, Joe",4,3.59,Doubleday,Hardcover,240,2002,January,2014,read
"The Ninja (Nicholas Linnear, #1)","Lustbader, Eric Van",4,3.9,M Evans & Co,Hardcover,442,1980,May,2014,read
"The Other Wes Moore: One Name, Two Fates","Moore, Wes",4,3.73,Spiegel & Grau,Hardcover,233,2010,May,2012,read
The Partner,John Grisham,4,3.87,Doubleday,Hardcover,366,1997,November,2015,read
The Pregnant Widow,"Amis, Martin",3,3.05,Knopf,Hardcover,370,2010,September,2013,read
"The Professor and the Madman: A Tale of Murder, Insanity and the Making of the Oxford English Dictionary",Simon Winchester,4,3.83,Harper Perennial,Paperback,252,2005,September,2015,read
The Psychopath Test: A Journey Through the Madness Industry,"Ronson, Jon",4,3.88,Riverhead Books,Hardcover,288,2011,March,2012,read
The Racketeer,"Grisham, John",4,3.74,Doubleday,Hardcover,340,2012,February,2014,read
The Rake: A Novel,"Jr., William F. Buckley",4,3.09,Harper,Hardcover,288,2007,September,2013,read
The Road,"McCarthy, Cormac",4,3.94,Knopf,Hardcover,241,2006,January,2013,read
The Rockwell Heist: The extraordinary theft of seven Norman Rockwell paintings and a phony RenoirŠ—”and the 20-year chase for their recovery from the Midwest through Europe and South America,"Rubenstein, Bruce",3,3.18,Borealis Books,Hardcover,180,2013,March,2014,read
The Science of Kissing: What Our Lips Are Telling Us,"Kirshenbaum, Sheril",4,3.42,Grand Central Publishing,Hardcover,246,2010,March,2011,read
The Serial Killers Club,"Povey, Jeff",,3.2,Grand Central Publishing,Hardcover,279,1990,August,2012,quit-reading
The Sex Contract: The Evolution Of Human Behaviour,"Fisher, Helen",4,3.86,HarperCollins,Hardcover,176,1982,May,2011,read
The Shape of the River: Long-Term Consequences of Considering Race in College and University Admissions,"Bowen, William G.",,3.8,Princeton University Press,Paperback,544,1998,May,2014,quit-reading
The Sherlockian,"Moore, Graham",3,3.61,Twelve,Hardcover,350,2010,July,2011,read
The Signal and the Noise: Why So Many Predictions Fail - But Some Don't,"Silver, Nate",4,3.94,Penguin,Hardcover,544,2012,March,2013,read
"The Sixth Lamentation (Father Anselm, #1)","Brodrick, William",4,3.7,Viking Adult,Hardcover,400,2003,December,2013,read
"The Skin Collector  (Lincoln Rhyme, #11)","Deaver, Jeffery",4,3.86,Grand Central Publishing,Hardcover,448,2015,June,2014,read
The Sleeping Doll (Kathryn Dance #1),"Deaver, Jeffery",4,3.91,Simon & Schuster,Hardcover,428,2007,February,2011,read
The Snow Garden,"Rice, Christopher",3,3.76,Thomas & Mercer,Hardcover,515,2002,July,2015,read
The Special Prisoner: A Novel,Jim Lehrer,4,3.6,Random House,Hardcover,240,2000,December,2015,read
The Street Lawyer,John Grisham,4,3.79,Doubleday,Hardcover,348,1998,December,2015,read
The Summons,John Grisham,4,3.66,Doubleday,Hardcover,341,2002,December,2015,read
"The Sweet Season: A Sportswriter Rediscovers Football, Family, and a Bit of Faith at Minnesota's St. John's University","Murphy, Austin",4,3.99,Harper,Hardcover,336,2001,October,2011,read
The Technologists,"Pearl, Matthew",4,3.46,Random House ,Hardcover,480,2012,December,2014,read
The Thief of Always,"Barker, Clive",4,4.17,HarperCollins Publishers,Hardcover,225,1992,July,2015,read
The Vintage Caper,"Mayle, Peter",4,3.27,Knopf Publishing Group,Hardcover,223,2009,August,2012,read
The Weatherman,"Thayer, Steve",5,3.7,Signet,Hardcover,412,1995,June,2015,read
The White Widow,"Lehrer, Jim",4,3.03,PublicAffairs,Hardcover,224,1996,July,2015,read
The Zone of Interest,"Amis, Martin",,3.72,Jonathan Cape,Hardcover,320,2014,August,2014,to-read
Things a Computer Scientist Rarely Talks About,"Knuth, Donald Ervin",4,3.99,Center for the Study of Language and Inf,Paperback,257,2001,June,2015,read
"Threat Vector (Jack Ryan Jr., #4)","Clancy, Tom",4,4.09,Putnam Adult,Hardcover,848,2012,December,2013,read
"Tom Clancy Support and Defend (Jack Ryan Jr., #5)","Greaney, Mark",4,4.07,G.P. Putnam's Sons,Hardcover,503,2014,August,2014,read
Top Down: A Novel of the Kennedy Assassination,"Lehrer, Jim",4,2.95,Random House,Hardcover,208,2013,March,2015,read
Trading Up,Candace Bushnell,3,3.15,Hachette Books,Hardcover,416,2003,December,2015,read
Tribes: We Need You to Lead Us,"Godin, Seth",3,3.81,Portfolio,Hardcover,151,2008,January,2011,read
Turn Around Bright Eyes: The Rituals of Love & Karaoke,"Sheffield, Rob",4,3.61,It Books,Hardcover,288,2012,May,2015,read
Tuva or Bust!: Richard Feynman's Last Journey,"Leighton, Ralph",3,3.95,W. W. Norton & Company,Hardcover,254,1991,November,2012,read
Twisted,"Anderson, Laurie Halse",4,3.82,Viking Books for Young Readers,Hardcover,250,2007,May,2011,read
Typologia: Studies in Type Design and Type Making,Frederic W. Goudy,0,3.92,University of California Press,Paperback,192,1978,January,2016,read
"Under Fire (Jack Ryan Jr., #6)","Blackwood, Grant",3,3.6,G.P. Putnam's Sons,Hardcover,506,2015,July,2015,read
Underground: The Tokyo Gas Attack and the Japanese Psyche,"Murakami, Haruki",,3.89,Vintage,Paperback,366,1997,April,2012,to-read
Uneducated Guesses: Using Evidence to Uncover Misguided Education Policies,"Wainer, Howard",5,3.25,Princeton University Press,Hardcover,175,2011,December,2013,read
Us,"Nicholls, David",4,3.66,Harper,Hardcover,416,2014,March,2015,read
"We Are Anonymous: Inside the Hacker World of LulzSec, Anonymous, and the Global Cyber Insurgency","Olson, Parmy",4,3.94,"Little, Brown and Company",Hardcover,512,2012,April,2014,read
What the Best College Teachers Do,"Bain, Ken",0,3.84,Harvard University Press,Hardcover,207,2004,June,2014,read
Where Angels Fear To Tread,"Forster, E.M.",0,3.57,,Paperback,169,1905,August,2014,read
Wigfield: The Can-Do Town That Just May Not,"Sedaris, Amy",,3.56,Hachette Books,Hardcover,224,2004,November,2011,quit-reading
Willful Ignorance: The Mismeasure of Uncertainty,"Weisberg, Herbert I.",5,4.33,Wiley,Paperback,456,2014,May,2015,read
Wonderkid,"Stace, Wesley",,3.49,Overlook Books,Hardcover,352,2014,February,2015,quit-reading
Worm: The First Digital World War,"Bowden, Mark",4,3.47,Atlantic Monthly Press,Hardcover,233,2011,October,2014,read
"Wunnerful, Wunnerful!  The Autobiography of Lawrence Welk","Welk, Lawrence",4,3.75,Prentice-Hall,Hardcover,294,1971,May,2015,read
"XO (Kathryn Dance, #3)","Deaver, Jeffery",4,3.72,Simon & Schuster,Hardcover,385,2012,May,2013,read
Yellow Dog,"Amis, Martin",,2.75,Miramax Books,Hardcover,352,2003,November,2013,quit-reading
"You Suck (A Love Story, #2)","Moore, Christopher",3,3.81,William Morrow & Company,Hardcover,328,2007,April,2012,read
