title,author,my_rating,avg_rating,publisher,binding,pages,year_published,month_read,year_read,bookshelf
"Deadlocked (Sookie Stackhouse, #12)","Harris, Charlaine",3,3.61,Ace Books,Hardcover,327,2012,July,2012,read
Dear Committee Members,Julie Schumacher,,3.77,Doubleday,Hardcover,181,2014,,2015,to-read
Death and the Penguin,"Kurkov, Andrey",4,3.82,Vintage,Paperback,228,1996,October,2011,read
"Dexter in the Dark (Dexter, #3)","Lindsay, Jeff",4,3.47,Doubleday,Hardcover,302,2006,June,2011,read
"Dexter's Final Cut (Dexter, #7)",Jeff Lindsay,3,3.5,Doubleday,Hardcover,352,2013,September,2015,read
Digging for Dirt: The Life and Death of ODB,Jaime Lowe,3,3.27,Faber & Faber,Hardcover,288,2008,October,2015,read
Digital Dice: Computational Solutions to Practical Probability Problems,"Nahin, Paul J.",3,3.96,Princeton University Press,Hardcover,263,2008,April,2011,read
Distrust That Particular Flavor,"Gibson, William",3,3.76,G.P. Putnam's Sons,Hardcover,272,2012,June,2014,read
Dominance,"Lavender, Will",,3.41,Simon & Schuster,Hardcover,368,2011,August,2011,to-read
Don't You Forget About Me,"Dunn, Jancee",4,3.1,Villard,Hardcover,276,2008,February,2012,read
"Double Dexter (Dexter, #6)","Lindsay, Jeff",3,3.81,Doubleday,Hardcover,337,2011,November,2012,read
"Dreaming in Code: Two Dozen Programmers, Three Years, 4,732 Bugs, and One Quest for Transcendent Software","Rosenberg, Scott",4,3.66,"Crown Publishing, NY",Hardcover,400,2007,December,2012,read
Edge,"Deaver, Jeffery",5,3.97,Simon & Schuster,Hardcover,397,2010,January,2011,read
Evidence-Based Policy: A Practical Guide to Doing It Better,"Cartwright, Nancy",3,3.43,"Oxford University Press, USA",Paperback,196,2012,December,2014,read
Ex Libris: Confessions of a Common Reader,"Fadiman, Anne",,4.17,"Farrar, Straus and Giroux",Paperback,162,1998,July,2015,to-read
F*ck Feelings: One Shrink's Practical Advice for Managing All Life's Impossible Problems,Michael I. Bennett,,3.64,Simon & Schuster,Hardcover,384,2015,,2015,to-read
Fair Ball: A Fan's Case for Baseball,"Costas, Bob",4,3.61,Broadway,Hardcover,192,2000,April,2012,read
Fire In A Canebrake: The Last Mass Lynching In America,"Wexler, Laura",5,3.91,Scribner Book Company,Hardcover,271,2003,March,2011,read
Forever's Team,"Feinstein, John",4,3.88,Villard,Hardcover,375,1989,February,2014,read
Fortune's Formula: The Untold Story of the Scientific Betting System That Beat the Casinos and Wall Street,"Poundstone, William",3,4.13,Hill & Wang,Hardcover,400,2005,August,2012,read
"Full Force and Effect (Jack Ryan, #10)","Greaney, Mark",4,4.21,Putnam Adult,Hardcover,674,2014,March,2015,read
Funny Girl,"Hornby, Nick",3,3.37,Riverhead Books,Hardcover,452,2014,June,2015,read
Georgia Bottoms,"Childress, Mark",3,3.37,"Little, Brown and Company",Hardcover,288,2011,November,2011,read
Glyph: A Visual Exploration of Punctuation Marks and Other Typographic Symbols,Adriana Caneva,,4.25,Cicada Books,Hardcover,112,2015,,2015,to-read
God is Not Great: How Religion Poisons Everything,"Hitchens, Christopher",4,3.93,Twelve Books,Hardcover,307,2007,March,2015,read
Grade My Teacher: A Short Story,"Perrotta, Tom",,4.04,St. Martin's Press,ebook,17,2013,June,2015,to-read
Graphic Discovery: A Trout in the Milk and Other Visual Adventures,"Wainer, Howard",4,3.78,Princeton University Press,Hardcover,192,2004,April,2012,read
Gray Mountain,"Grisham, John",,3.47,Doubleday,Hardcover,368,2014,October,2014,to-read
Grotesque,"Kirino, Natsuo",3,3.66,Knopf,Hardcover,480,2003,May,2012,read
"Headspin, Headshopts & History: Growing Up in Twin Cities Hip Hop",Zach Combs,0,0,Zach Combs,Paperback,277,2011,October,2015,quit-reading
Here Comes Everybody,James Fearnley,,3.87,Faber & Faber,Paperback,406,2012,,2015,currently-reading
Hermann Zapf and His Design Philosophy,"Zapf, Hermann",5,3.75,Yale University Press,Hardcover,254,1987,June,2015,read
Hitch-22: A Memoir,"Hitchens, Christopher",4,4,Twelve,Hardcover,435,2010,January,2013,read
"How's Your Drink?: Cocktails, Culture, and the Art of Drinking Well","Felten, Eric",,3.71,Agate Surrey,Hardcover,200,2007,July,2015,to-read
Hunting Eichmann: How a Band of Survivors and a Young Spy Agency Chased Down the World's Most Notorious Nazi,"Bascomb, Neal",5,4.13,Houghton Mifflin Harcourt,Hardcover,390,2009,January,2015,read
